interviewMode,weights,PRE_VotePresident,approvalOfPresidentCovidResponse,PRE_RaceOutcomePrediction,PRE_ThermoBiden,PRE_ThermoTrump,PRE_ThermoHarris,PRE_ThermoPence,PRE_ThermoObama,PRE_ThermoDemParty,PRE_ThermoRepParty,PRE_ParentNativeStatus,PRE_YearsAtAddress,Sex,PRE_SummaryVoteDutyChoice,PRE_PartyID,PRE_ScaleSpendingServices,PRE_CountryDirection,PRE_GovTrust,PRE_EconomyView,PRE_AbortionRightsSC,Age,EducationLevel,WorkStatus,Income,Race,StateRegistration,HouseholdChildren,PRE_PartyMoreHouseMembers,PRE_FederalSpendingKnowledge,PRE_VoteAccuracy,PRE_SurveySeriousness,PRE_ScaleDefenseSpending,PRE_ScaleMedInsurance,PRE_CorruptionView,PRE_ScaleGovAssistanceBlacks,PRE_ScaleJobIncome,POST_Voted2020,POST_VotePresident,POST_VoteAccuracy,POST_ThermoHarris,POST_ThermoPence,POST_ThermoBiden,POST_ThermoTrump,POST_ProblemMention,mentionFox,mentionABC,mentionCNN
3,1.55,1,4,2,100,0,100,0,100,100,0,3,4.0,2,1,1,7,1,2,4,2,37.0,2,1,9,3,24,2,1,0,4,5,7,1,1,1,1,2,1,4,80,0,100,0,32,0,0,0
3,1.25,1,4,1,60,0,85,50,85,50,30,1,33.0,1,2,2,3,1,3,3,3,55.0,2,1,18,1,55,2,1,1,3,5,5,6,1,7,4,2,1,2,70,50,70,0,50,1,0,1
3,0.29,2,2,2,0,100,0,0,0,0,85,1,4.0,2,4,7,4,2,4,4,3,30.0,2,2,1,1,41,1,1,1,4,5,3,3,1,7,4,2,2,5,0,0,0,100,83,0,0,0
3,0.52,1,4,1,85,0,85,0,100,85,0,3,3.0,1,2,2,4,1,5,5,2,38.0,7,2,21,4,51,2,1,1,4,5,4,3,1,3,4,2,1,2,85,0,85,0,32,0,1,1
3,1.34,1,2,1,60,40,60,40,85,60,40,1,6.0,2,1,3,7,2,2,2,3,41.0,3,2,3,2,37,1,2,1,3,4,4,3,3,1,1,1,1,2,85,60,70,40,83,0,1,0
3,0.46,2,2,2,0,100,0,100,0,0,100,1,3.0,1,7,5,4,4,4,3,3,66.0,3,1,7,3,16,0,1,0,3,5,6,4,2,4,4,1,2,4,0,100,0,100,82,0,0,0
3,1.22,1,4,1,60,0,70,40,85,40,30,1,17.0,1,1,3,4,2,3,4,3,54.0,6,1,22,1,25,2,1,1,4,5,4,1,1,4,5,2,1,1,70,30,60,0,82,0,0,1
3,0.74,1,4,2,85,0,85,15,100,85,16,1,24.0,1,1,1,5,3,3,3,2,55.0,6,1,20,1,33,2,1,1,4,5,2,3,1,3,3,2,1,1,70,15,85,0,83,0,1,1
3,0.63,1,4,1,85,15,70,30,100,85,0,1,22.0,2,1,1,4,1,3,4,2,62.0,6,2,11,1,32,0,1,1,5,5,3,3,1,6,6,2,1,1,70,15,85,15,82,0,0,1
3,0.55,1,3,1,70,15,60,40,100,85,30,1,27.0,2,1,2,4,2,4,3,3,80.0,2,2,5,1,55,0,1,1,4,5,4,4,1,4,4,2,1,2,85,50,85,0,82,0,0,0
3,1.11,2,1,1,0,95,0,95,10,0,100,1,6.0,1,7,7,4,3,2,4,3,31.0,7,1,12,3,42,0,1,1,2,5,6,5,1,6,7,1,2,4,0,100,0,95,82,1,0,1
3,2.13,1,4,2,75,0,75,0,75,70,15,3,40.0,2,1,1,7,1,4,5,3,80.0,1,2,6,3,6,1,2,0,2,5,1,1,1,1,2,2,1,2,90,15,80,0,24,0,0,1
3,6.62,1,4,1,40,5,45,0,45,25,0,1,24.0,1,1,3,6,1,4,4,2,24.0,6,1,21,1,36,0,1,1,4,5,1,1,1,3,1,2,1,2,70,0,70,0,83,0,0,0
3,1.73,5,1,1,0,100,0,100,0,30,85,1,0.0,1,1,7,3,5,3,1,1,55.0,7,1,15,1,4,3,1,0,2,5,5,7,2,4,7,2,2,2,50,50,50,50,83,0,0,0
3,5.81,1,4,2,0,15,62,41,60,60,15,3,30.0,2,6,2,5,1,2,3,2,59.0,1,2,6,3,25,0,1,0,4,5,2,1,3,2,4,0,2,1,70,50,50,0,83,0,0,0
3,0.61,1,4,1,85,0,70,15,90,80,15,1,19.0,1,7,1,5,1,4,4,2,73.0,6,2,5,1,13,0,1,1,4,5,4,1,1,3,3,2,1,2,85,10,85,0,82,0,0,0
3,0.73,2,1,2,0,100,0,100,50,20,100,1,18.0,2,1,5,4,3,2,2,2,72.0,1,2,5,1,37,3,1,0,1,5,6,4,3,3,6,2,2,2,0,100,15,85,17,1,0,0
3,0.91,2,3,1,50,60,50,50,60,40,50,1,21.0,1,7,5,5,3,4,2,2,50.0,6,1,20,1,51,0,1,0,2,5,4,4,1,4,5,2,2,4,40,60,30,50,82,0,0,0
3,0.65,1,4,1,70,2,70,15,85,60,0,1,12.0,1,1,6,6,1,4,4,2,66.0,8,2,22,1,36,0,1,1,3,5,5,4,1,2,3,2,1,1,85,15,75,0,82,0,0,0
3,1.48,1,4,2,70,0,50,50,100,60,30,3,2.0,1,2,1,5,2,3,4,2,41.0,2,1,15,3,4,2,2,0,3,5,5,3,1,5,4,2,1,1,50,50,85,0,24,0,0,1
3,1.04,2,4,2,0,85,0,0,100,0,0,1,8.0,2,2,4,7,5,5,3,1,52.0,2,2,1,4,15,2,2,0,2,4,5,4,3,7,4,1,2,4,50,50,15,64,83,0,0,0
3,1.24,2,4,2,0,0,0,0,0,0,0,1,1.0,1,4,4,1,1,5,5,3,45.0,3,1,13,5,27,2,1,0,1,5,1,7,1,7,7,0,3,2,0,0,0,0,83,0,0,0
3,0.21,1,4,1,85,0,70,0,100,70,15,1,19.0,2,1,1,4,2,4,4,2,46.0,7,1,4,1,16,0,1,1,4,5,2,5,1,3,5,2,1,2,85,0,100,0,81,1,1,1
3,0.54,2,1,1,0,100,0,100,0,0,70,1,18.0,1,2,7,4,3,4,1,3,66.0,6,1,20,1,55,0,1,1,2,5,5,7,2,5,7,2,2,4,0,100,0,100,49,1,0,0
3,1.1,1,4,1,85,0,85,0,100,60,15,1,1.0,2,1,2,5,3,4,4,2,60.0,8,1,20,1,36,0,1,0,5,5,4,1,1,1,3,2,1,1,90,15,100,0,82,0,0,0
3,0.64,2,1,1,0,85,0,100,0,0,85,1,19.0,2,6,7,4,3,2,3,2,73.0,6,2,10,1,48,0,2,0,3,4,5,7,3,7,7,2,2,4,0,100,30,85,83,1,0,0
3,0.88,2,4,2,60,15,85,60,85,60,40,1,33.0,2,6,1,7,3,3,4,1,71.0,5,2,9,2,17,0,2,0,4,3,4,1,1,4,1,2,1,2,85,50,100,40,82,0,0,1
3,0.78,1,4,1,40,0,50,20,80,40,10,1,3.0,2,3,3,6,2,4,4,2,28.0,8,2,3,1,39,0,1,1,1,5,3,1,1,2,3,2,1,1,65,20,60,0,47,0,0,0
3,0.48,1,4,2,85,0,100,0,100,85,0,1,4.0,2,6,1,7,1,4,4,2,73.0,7,2,8,1,5,0,1,1,4,5,1,1,1,1,1,2,1,3,100,0,100,0,48,0,0,0
3,0.37,2,1,1,0,100,0,85,0,0,60,1,17.0,1,2,7,4,5,4,3,3,58.8,6,2,13,1,13,0,1,1,3,5,4,5,2,3,6,2,2,2,0,85,15,100,82,1,0,0
3,0.52,2,3,1,15,70,50,85,30,30,85,1,2.0,2,2,7,2,1,3,3,3,37.0,6,1,19,1,48,0,2,0,3,5,5,4,3,6,5,2,2,2,30,85,15,70,83,0,0,0
3,0.36,1,4,1,80,5,80,7,100,78,12,1,40.0,2,7,1,7,2,3,3,3,56.0,5,1,4,2,42,0,1,0,2,5,4,1,1,4,3,2,1,3,100,25,100,10,83,1,0,0
3,0.63,2,1,2,0,100,0,100,0,0,15,1,3.0,1,1,7,1,4,4,1,1,48.0,7,1,10,1,35,0,2,1,2,5,5,7,2,6,7,2,2,2,0,100,0,100,50,1,0,0
3,0.64,2,1,2,0,98,0,95,0,10,95,1,8.0,2,1,7,2,4,4,1,3,53.0,6,1,19,1,20,1,2,0,3,5,6,7,2,7,7,2,2,4,0,100,0,100,83,1,1,0
3,0.93,2,1,2,50,85,40,70,50,40,85,1,40.0,2,7,5,4,4,3,3,1,72.0,5,2,22,1,6,0,1,0,3,4,4,4,3,4,4,2,2,2,30,60,50,70,81,1,0,0
3,0.24,2,1,1,0,100,0,100,0,0,100,1,3.0,1,6,7,4,4,3,2,3,55.0,2,1,1,1,29,2,1,0,1,2,6,5,3,7,6,2,2,2,0,85,0,85,48,1,0,0
3,0.92,1,4,2,85,0,85,0,100,85,0,1,3.0,1,1,1,5,2,4,5,2,79.0,4,2,10,1,42,0,1,1,5,5,3,5,1,4,6,2,1,1,100,30,100,0,82,0,1,0
3,0.68,1,4,1,75,0,70,10,90,80,0,1,7.0,1,5,3,4,3,4,3,2,38.0,6,1,21,1,27,2,1,1,5,5,3,4,1,3,4,2,1,1,80,15,90,0,17,0,0,0
3,0.32,2,2,2,15,80,50,50,5,20,100,3,3.0,2,1,7,7,3,2,3,3,42.0,6,1,12,4,6,0,1,1,2,4,4,5,1,6,4,2,2,3,50,95,20,95,83,1,0,1
3,0.37,1,4,1,100,0,70,0,100,70,30,1,4.0,1,1,3,6,2,2,4,2,70.0,7,2,15,1,29,0,1,1,4,5,3,1,1,4,3,2,1,1,70,15,85,0,82,0,0,0
3,0.69,1,4,1,100,15,85,0,100,100,70,1,4.0,2,1,1,7,4,3,4,2,50.0,4,2,3,5,48,0,2,1,3,5,4,1,1,1,1,2,1,2,100,40,100,0,82,0,0,0
3,0.26,1,4,2,100,0,75,0,85,80,0,1,13.0,2,1,1,5,2,4,4,2,50.0,7,1,10,2,51,1,1,1,4,5,4,1,1,3,4,2,1,2,90,0,90,0,81,0,0,1
3,0.55,1,1,1,100,85,61,50,75,50,50,1,1.0,2,7,4,5,4,4,2,2,27.0,1,2,1,1,39,0,1,0,3,5,3,2,1,5,5,2,2,3,22,70,26,62,83,0,0,0
3,1.68,2,1,2,0,100,0,0,0,0,70,1,40.0,1,4,7,7,3,4,3,2,62.0,2,2,1,1,21,0,1,1,2,5,5,5,1,1,1,1,2,5,0,0,0,100,83,0,0,0
3,1.01,3,1,1,0,85,0,85,0,0,70,1,10.0,2,1,4,2,1,5,2,3,51.0,5,2,5,2,42,0,1,0,1,4,6,7,3,7,7,2,3,4,0,100,0,100,49,0,0,0
3,1.0,2,1,1,30,85,15,85,40,40,70,1,16.0,1,2,7,3,4,3,2,1,60.0,3,2,15,1,35,0,1,1,2,5,4,5,2,3,7,1,2,2,41,56,44,35,83,1,0,1
3,0.22,1,4,1,75,15,70,60,80,70,45,1,27.0,2,1,1,5,2,3,2,1,65.0,7,1,9,1,13,0,2,0,5,5,5,4,1,3,4,2,1,1,65,60,85,0,48,1,1,1
3,0.57,1,4,1,85,0,85,0,70,70,15,3,15.0,1,5,3,4,3,4,4,2,61.4,7,1,21,1,36,0,1,0,4,5,3,3,1,2,4,2,1,2,90,0,85,0,82,0,0,0
3,1.41,1,4,1,60,30,30,40,70,40,70,1,3.0,1,4,6,6,2,4,3,3,48.0,2,1,9,1,39,0,2,0,3,4,5,4,1,3,4,2,1,1,70,50,70,0,49,0,1,0
3,0.8,2,2,2,15,85,0,85,30,15,85,1,5.0,1,5,5,4,4,2,3,3,55.0,2,1,13,1,48,0,2,1,3,5,5,2,2,5,7,2,2,3,0,85,0,100,78,1,0,0
3,0.94,1,4,2,50,30,50,50,50,30,30,1,10.0,1,6,4,3,2,5,3,3,54.0,6,1,19,1,17,4,1,0,3,5,1,3,1,2,3,2,1,1,40,40,40,30,82,0,0,0
3,0.9,1,4,2,40,15,75,20,90,60,30,1,5.0,2,4,2,7,1,4,4,2,38.0,7,1,13,1,30,0,2,0,3,5,4,4,1,4,6,1,1,2,75,35,75,35,83,0,0,1
3,0.54,1,4,1,100,0,100,0,100,70,0,1,40.0,1,1,1,7,1,5,2,2,80.0,8,2,10,1,47,0,1,1,3,5,4,1,1,2,2,2,1,2,85,0,100,0,24,0,0,0
3,0.33,1,4,2,85,0,100,0,100,70,15,1,2.0,2,1,2,7,4,4,5,2,37.0,7,1,15,6,22,0,1,1,2,5,2,2,1,1,2,2,1,2,80,15,70,40,82,0,0,0
3,0.35,1,4,1,40,15,60,15,70,50,30,2,0.0,1,7,3,6,2,3,4,2,38.0,6,1,22,1,34,3,1,1,4,5,1,2,1,3,4,2,1,1,70,15,60,0,82,1,0,1
3,0.75,1,4,2,100,0,100,0,100,0,85,3,4.0,1,1,5,4,1,2,4,3,60.0,4,2,11,1,6,0,2,0,4,4,7,1,1,5,1,2,1,2,100,0,100,0,32,0,0,0
3,1.4,1,4,1,100,0,85,15,100,85,0,2,13.0,1,6,3,7,3,4,4,3,46.0,3,1,14,6,6,0,1,0,1,5,6,4,1,4,3,2,1,2,85,0,100,0,81,0,0,0
3,0.95,1,4,1,15,0,50,0,60,40,0,1,6.0,2,1,1,7,1,4,5,2,78.0,7,2,17,1,6,0,1,0,1,5,1,1,1,1,1,2,2,1,85,0,40,0,17,0,0,0
3,0.59,1,4,1,72,0,70,0,90,70,10,1,19.0,2,1,1,6,2,3,5,2,39.0,8,1,16,1,8,2,1,1,4,5,2,1,1,1,1,2,1,1,95,20,75,0,17,0,0,0
3,0.2,1,4,1,70,0,85,50,85,70,30,1,0.0,2,1,2,5,1,4,2,2,33.0,8,1,11,2,17,0,1,0,3,5,3,7,1,1,4,2,1,1,100,30,60,0,83,0,0,1
3,0.25,1,4,1,100,0,85,50,100,100,0,1,3.0,2,1,1,5,1,4,3,2,74.0,7,2,1,1,6,0,1,0,3,5,5,1,1,1,1,2,1,2,85,50,100,16,17,0,0,0
3,0.57,1,4,2,85,0,70,0,100,70,15,1,13.0,2,2,2,5,1,4,3,2,61.0,4,2,10,1,27,0,2,1,4,5,4,5,1,2,4,2,1,1,70,0,70,0,82,0,0,0
3,0.88,1,4,2,100,0,85,0,100,85,0,1,10.0,2,1,1,4,1,4,2,2,67.0,3,2,6,1,27,1,1,1,4,5,5,3,1,5,5,2,1,1,100,40,100,0,81,0,1,1
3,2.1,1,4,2,77,18,66,42,79,70,33,1,15.0,2,5,2,5,3,3,4,2,60.0,2,2,13,1,42,0,1,0,4,5,3,4,1,4,4,2,1,2,70,40,70,0,82,0,0,0
3,0.78,2,2,2,15,85,15,70,0,0,75,1,6.0,1,6,7,3,4,3,2,2,55.6,3,1,17,1,42,2,1,0,3,5,7,5,3,7,7,2,2,1,0,85,15,85,78,0,0,0
3,1.35,3,4,1,40,15,20,15,60,25,15,3,5.0,1,4,4,3,3,4,3,2,21.0,3,1,6,2,36,0,1,1,3,4,3,4,3,5,5,0,2,3,50,50,50,50,32,0,0,0
3,2.17,1,4,2,100,0,100,0,100,100,0,1,0.0,2,1,1,7,2,3,3,2,49.0,1,2,1,2,36,1,2,1,3,5,6,7,2,1,1,1,1,2,100,50,100,0,32,0,1,1
3,0.33,1,4,1,85,0,85,50,100,100,30,1,12.0,1,2,1,7,3,3,4,2,80.0,7,2,16,1,42,0,1,1,5,5,4,6,1,2,1,2,1,1,7,5,7,0,82,0,0,1
3,0.51,2,1,2,0,70,0,70,0,0,60,1,8.0,1,1,5,4,4,3,2,1,70.0,3,2,6,1,12,0,1,1,3,5,5,4,3,4,5,2,2,3,50,85,50,85,83,1,0,0
3,0.44,1,4,2,100,0,100,0,100,100,0,2,18.2,2,1,1,7,1,4,3,3,70.0,2,1,5,1,48,0,1,0,4,5,7,1,1,5,1,2,1,5,100,0,100,0,32,0,0,1
3,0.67,2,2,1,30,30,15,50,40,15,60,1,33.0,1,1,5,2,3,4,2,1,72.0,6,2,18,1,40,0,1,0,5,5,5,5,3,3,6,2,2,1,30,50,50,30,47,1,0,0
3,0.55,2,1,2,0,100,0,100,0,0,100,1,15.0,2,7,7,2,2,2,2,1,78.0,3,2,10,1,4,0,1,0,4,5,6,7,1,6,6,2,2,2,0,100,0,100,47,1,0,0
3,0.34,1,4,1,70,0,70,0,100,70,0,1,15.0,2,7,1,5,2,4,3,3,43.0,6,1,10,1,10,3,2,1,4,5,3,4,1,3,3,2,1,1,100,0,100,0,82,0,0,0
3,0.7,1,4,2,85,30,85,40,100,70,60,1,14.0,2,2,4,5,2,4,5,3,45.0,3,2,3,2,11,2,2,0,4,4,3,3,1,3,3,1,1,2,100,30,100,0,83,0,0,1
3,0.37,1,4,2,70,0,70,0,85,70,15,1,3.0,2,2,2,5,1,3,1,3,44.0,6,1,21,1,18,1,2,1,3,5,4,3,1,1,3,2,1,2,100,0,85,0,32,0,0,1
3,0.51,1,4,1,100,0,85,70,100,85,15,1,3.0,2,7,1,1,1,4,4,2,50.0,4,2,6,3,32,0,1,0,1,5,6,1,1,4,2,2,1,1,100,60,100,0,83,0,0,0
3,0.7,1,4,1,85,0,50,50,100,50,50,1,4.0,2,5,4,6,1,3,3,2,54.6,7,1,4,1,12,2,1,1,2,4,5,2,1,2,2,1,1,2,90,20,90,10,82,0,0,0
3,0.62,1,4,1,85,0,85,0,85,70,0,1,8.0,2,1,3,5,1,4,4,2,33.0,6,1,15,1,54,0,2,0,4,5,4,1,1,2,2,2,1,1,85,0,60,0,48,0,0,0
3,1.95,2,1,2,0,100,0,100,0,0,100,1,26.0,2,1,7,3,3,2,1,3,55.0,2,1,14,1,25,0,2,0,4,4,6,4,3,7,7,1,2,3,50,100,60,100,83,1,0,0
3,1.43,2,1,1,30,60,0,50,15,15,70,1,2.0,2,6,6,2,3,4,3,2,28.0,6,1,20,1,39,0,1,0,2,5,4,5,3,3,7,2,2,3,15,60,30,60,82,0,1,0
3,0.62,2,1,1,15,85,30,100,0,30,85,1,0.0,2,2,7,1,5,3,2,2,34.0,7,1,22,1,51,0,1,1,3,5,3,5,3,7,6,1,2,2,15,100,50,60,83,1,1,0
3,3.25,2,1,1,0,85,50,50,40,0,100,1,0.0,2,5,7,5,3,3,4,1,24.0,6,1,20,1,36,0,2,0,2,5,5,6,2,5,5,2,2,3,15,85,15,100,82,1,0,0
3,0.65,2,1,2,0,100,0,100,0,0,100,1,1.0,2,1,7,5,5,1,2,1,26.0,4,1,2,1,40,4,2,0,4,5,5,5,2,5,4,2,2,4,0,100,0,100,78,1,0,0
3,0.82,1,4,1,70,0,70,15,85,70,30,1,15.0,1,7,1,6,2,3,4,2,75.0,2,1,7,1,39,0,2,1,4,5,5,1,1,3,3,2,1,1,85,30,70,0,82,0,0,0
3,0.65,2,3,2,30,60,0,70,60,0,60,1,1.0,1,2,4,4,1,4,5,2,61.0,6,2,13,5,15,0,1,1,3,5,5,3,1,7,5,2,2,3,0,85,0,70,83,1,0,1
3,0.36,2,1,1,40,100,15,100,25,15,70,1,4.0,2,7,7,4,3,2,2,2,80.0,7,2,22,1,48,0,2,0,2,5,7,6,2,7,6,2,2,4,15,100,30,100,82,1,1,0
3,0.74,1,4,1,70,0,85,0,85,60,15,1,13.0,1,1,3,5,2,3,3,2,58.0,3,1,18,1,25,1,1,1,4,5,3,1,1,3,3,2,1,2,85,0,85,0,81,0,0,1
3,0.36,1,4,1,100,0,100,15,100,50,0,1,4.0,2,1,2,4,1,5,5,2,50.0,6,1,12,3,13,0,1,0,4,5,4,2,1,1,2,2,1,2,100,0,100,0,82,0,0,1
3,0.21,1,4,2,100,0,100,40,100,85,0,3,15.0,2,7,1,4,1,2,3,2,76.0,6,2,6,1,45,0,1,1,3,5,4,2,1,2,4,2,1,2,100,15,100,0,82,0,1,1
3,0.31,1,4,2,60,30,70,50,60,70,60,1,10.0,2,2,4,4,3,4,3,2,80.0,3,2,9,1,53,0,1,0,4,5,6,7,1,3,4,2,1,1,60,50,60,40,82,0,0,0
3,0.88,1,4,1,100,0,85,50,100,100,0,1,15.0,2,7,1,1,5,2,2,2,48.0,2,1,1,6,42,2,1,0,4,3,5,6,2,7,5,1,1,3,40,0,100,0,82,0,0,0
3,1.23,2,3,1,60,15,50,50,50,60,50,1,22.0,2,4,4,3,4,4,5,2,61.0,2,1,17,1,42,2,2,0,4,3,2,3,2,3,2,1,2,2,70,60,60,40,83,0,0,1
3,0.46,1,4,1,70,0,70,15,100,85,50,1,4.0,2,4,1,7,1,4,5,2,45.0,7,1,17,1,6,0,2,0,4,5,2,2,1,1,2,2,1,1,85,0,85,0,82,0,0,1
3,0.63,2,1,2,9,85,0,50,0,15,85,1,5.0,2,2,7,4,4,3,3,1,37.0,4,1,7,1,16,3,2,0,3,5,5,5,2,7,6,2,2,5,0,85,0,85,81,0,0,0
3,0.81,2,1,1,0,85,0,100,0,0,60,1,10.0,1,1,7,3,4,3,1,1,36.0,6,1,17,1,18,3,1,1,3,5,7,7,3,5,7,2,2,4,0,100,0,100,48,0,0,0
3,0.58,1,4,1,100,0,85,0,100,85,15,3,40.0,2,1,1,6,1,3,4,2,80.0,1,2,3,1,42,0,1,0,3,5,5,2,1,3,4,2,1,2,100,0,100,0,17,0,1,1
3,0.37,2,1,1,0,100,0,100,30,0,85,1,40.0,2,1,7,3,5,4,1,1,66.0,2,1,4,1,24,0,1,1,4,5,6,5,3,6,7,2,2,2,0,100,0,85,82,0,1,0
3,1.39,2,2,1,18,85,15,0,30,30,85,1,3.0,2,1,5,4,4,2,2,2,80.0,2,2,10,1,25,0,1,0,1,5,5,4,2,4,6,2,2,3,0,100,0,100,32,1,0,0
3,0.36,2,3,1,40,65,15,70,30,30,50,1,6.0,1,3,5,3,3,4,3,3,66.0,5,2,19,5,20,0,1,1,3,5,4,6,3,4,6,2,2,2,15,50,40,50,83,1,0,0
3,3.39,1,4,1,85,0,75,20,90,70,10,1,23.0,2,4,6,4,1,4,3,2,60.0,3,1,17,1,42,0,1,1,2,5,1,4,1,2,3,2,1,2,88,0,95,0,81,0,0,1
3,0.46,2,1,2,0,100,0,100,0,0,70,1,0.0,1,1,7,1,5,4,1,1,34.0,6,1,19,1,36,2,1,1,2,5,6,7,2,5,7,2,2,2,0,100,0,100,78,1,1,0
3,0.58,2,1,1,15,100,0,85,15,0,70,3,15.0,1,1,7,3,2,3,4,3,80.0,8,2,22,4,6,0,1,1,3,5,4,7,2,4,4,2,2,3,15,100,0,85,83,1,0,0
3,1.46,2,2,1,40,70,15,85,50,30,60,1,1.0,1,1,2,4,3,4,1,1,71.0,2,2,14,1,17,0,1,1,3,5,6,4,3,5,6,2,2,5,0,85,60,30,82,1,1,0
3,0.39,2,1,1,15,100,0,100,0,0,70,1,12.0,1,1,7,3,3,3,2,3,72.0,3,1,6,1,39,0,1,0,1,4,5,6,3,4,5,2,2,3,0,100,0,85,24,1,0,0
3,0.36,2,3,1,15,70,0,50,15,30,70,3,17.0,1,1,6,2,2,3,4,3,57.0,6,1,8,1,17,0,2,0,4,4,3,4,3,7,5,2,2,2,15,50,15,50,83,0,0,0
3,0.55,2,1,2,50,85,70,60,85,60,100,3,4.0,2,1,7,4,4,4,2,2,36.0,7,1,17,3,25,2,2,1,5,4,3,7,3,4,7,2,2,1,60,70,50,100,82,1,1,0
3,1.14,1,4,2,100,0,85,30,100,85,15,1,21.0,2,2,1,4,1,4,4,2,61.0,5,1,16,2,37,1,1,0,4,5,5,3,1,1,1,2,1,1,100,40,100,0,82,0,1,1
3,1.11,2,1,2,0,100,0,100,0,0,85,1,24.0,1,1,7,4,5,3,1,3,58.0,7,1,1,5,36,0,1,0,3,5,7,7,2,7,7,2,2,5,0,100,0,100,49,1,0,0
3,2.56,1,4,1,60,0,60,0,85,50,50,1,5.0,1,4,3,6,2,5,3,3,30.0,3,1,17,2,42,0,2,0,2,4,5,5,1,1,4,2,1,2,85,0,85,0,32,1,0,0
3,0.49,2,1,1,0,85,0,100,15,0,70,1,19.0,1,1,6,2,4,2,1,3,80.0,7,2,17,1,4,0,1,1,1,5,6,7,1,5,6,2,2,4,0,100,0,100,83,1,0,0
3,1.03,2,1,2,15,100,0,100,0,15,70,1,20.0,1,1,7,2,4,3,2,1,59.6,7,1,9,2,12,0,1,1,3,5,7,6,3,3,7,2,2,2,0,85,15,100,49,0,0,0
3,0.6,1,4,2,70,32,70,40,77,54,50,1,31.0,1,1,1,7,3,3,5,2,72.0,3,2,5,3,8,0,2,0,5,5,4,1,1,4,5,2,1,1,86,40,86,16,82,0,0,0
3,0.99,3,1,1,100,50,80,30,72,95,100,1,5.0,1,6,1,2,1,2,1,2,38.0,1,1,1,3,37,0,2,1,2,1,6,6,1,7,7,2,2,3,50,52,43,47,83,0,0,0
3,0.4,2,3,1,15,80,5,75,20,40,60,3,34.0,1,4,6,3,4,3,2,3,60.0,3,2,5,1,26,0,1,0,4,5,6,2,3,4,4,1,2,4,15,70,30,60,32,0,0,0
